Time (sec), Heater 1 (%), Temperature 1 (degC)
1.090387098789215088e+02,2.000000000000000000e+01,5.385999999999999943e+01
1.100435431003570557e+02,2.000000000000000000e+01,5.404999999999999716e+01
1.110401043891906738e+02,2.000000000000000000e+01,5.420000000000000284e+01
1.120337903499603271e+02,2.000000000000000000e+01,5.459000000000000341e+01
1.130241284370422363e+02,2.000000000000000000e+01,5.464000000000000057e+01
1.140174701213836670e+02,2.000000000000000000e+01,5.468999999999999773e+01
1.150229928493499756e+02,2.000000000000000000e+01,5.500000000000000000e+01
1.160191919803619385e+02,2.000000000000000000e+01,5.514999999999999858e+01
1.170199346542358398e+02,2.000000000000000000e+01,5.517999999999999972e+01
1.180181977748870850e+02,2.000000000000000000e+01,5.561999999999999744e+01
1.190174653530120850e+02,2.000000000000000000e+01,5.564000000000000057e+01
1.200200350284576416e+02,2.000000000000000000e+01,5.590999999999999659e+01
1.210233924388885498e+02,2.000000000000000000e+01,5.610000000000000142e+01
1.220203156471252441e+02,2.000000000000000000e+01,5.614999999999999858e+01
1.230204465389251709e+02,2.000000000000000000e+01,5.649000000000000199e+01
1.240166556835174561e+02,2.000000000000000000e+01,5.659000000000000341e+01
1.250098044872283936e+02,2.000000000000000000e+01,5.664000000000000057e+01
1.260146393775939941e+02,2.000000000000000000e+01,5.707999999999999829e+01
1.270143194198608398e+02,2.000000000000000000e+01,5.713000000000000256e+01
1.280128252506256104e+02,2.000000000000000000e+01,5.725000000000000000e+01
1.290145051479339600e+02,2.000000000000000000e+01,5.752000000000000313e+01
1.300141754150390625e+02,2.000000000000000000e+01,5.761999999999999744e+01
1.310140683650970459e+02,2.000000000000000000e+01,5.785999999999999943e+01
1.320116262435913086e+02,2.000000000000000000e+01,5.800999999999999801e+01
1.330176093578338623e+02,2.000000000000000000e+01,5.810999999999999943e+01
1.340149269104003906e+02,2.000000000000000000e+01,5.850000000000000000e+01
1.350196316242218018e+02,2.000000000000000000e+01,5.853999999999999915e+01
1.360209717750549316e+02,2.000000000000000000e+01,5.859000000000000341e+01
1.370172255039215088e+02,2.000000000000000000e+01,5.893999999999999773e+01
1.380241894721984863e+02,2.000000000000000000e+01,5.893999999999999773e+01
1.390205061435699463e+02,2.000000000000000000e+01,5.907999999999999829e+01
1.400246956348419189e+02,2.000000000000000000e+01,5.950000000000000000e+01
1.410269908905029297e+02,2.000000000000000000e+01,5.952000000000000313e+01
1.420277781486511230e+02,2.000000000000000000e+01,5.957000000000000028e+01
1.430310611724853516e+02,2.000000000000000000e+01,6.000999999999999801e+01
1.440315902233123779e+02,2.000000000000000000e+01,6.003000000000000114e+01
1.450307965278625488e+02,2.000000000000000000e+01,6.006000000000000227e+01
1.460335321426391602e+02,2.000000000000000000e+01,6.039999999999999858e+01
1.470322780609130859e+02,2.000000000000000000e+01,6.042000000000000171e+01
1.480354213714599609e+02,2.000000000000000000e+01,6.052000000000000313e+01
1.490350537300109863e+02,2.000000000000000000e+01,6.077000000000000313e+01
1.500370304584503174e+02,2.000000000000000000e+01,6.093999999999999773e+01
1.510385601520538330e+02,2.000000000000000000e+01,6.103999999999999915e+01
1.520393254756927490e+02,2.000000000000000000e+01,6.121000000000000085e+01
1.530397021770477295e+02,2.000000000000000000e+01,6.145000000000000284e+01
1.540390987396240234e+02,2.000000000000000000e+01,6.152000000000000313e+01
1.550423133373260498e+02,2.000000000000000000e+01,6.152000000000000313e+01
1.560392858982086182e+02,2.000000000000000000e+01,6.196000000000000085e+01
1.570420858860015869e+02,2.000000000000000000e+01,6.190999999999999659e+01
1.580423843860626221e+02,2.000000000000000000e+01,6.200999999999999801e+01
1.590399420261383057e+02,2.000000000000000000e+01,6.228000000000000114e+01
1.600413630008697510e+02,2.000000000000000000e+01,6.239999999999999858e+01
1.610377287864685059e+02,2.000000000000000000e+01,6.250000000000000000e+01
1.620412037372589111e+02,2.000000000000000000e+01,6.254999999999999716e+01
1.630375318527221680e+02,2.000000000000000000e+01,6.284000000000000341e+01
1.640362174510955811e+02,2.000000000000000000e+01,6.293999999999999773e+01
1.650424575805664062e+02,2.000000000000000000e+01,6.299000000000000199e+01
1.660474274158477783e+02,2.000000000000000000e+01,6.339999999999999858e+01
1.670407974720001221e+02,2.000000000000000000e+01,6.342999999999999972e+01
1.680427651405334473e+02,2.000000000000000000e+01,6.347999999999999687e+01
1.690392198562622070e+02,2.000000000000000000e+01,6.353000000000000114e+01
1.700409343242645264e+02,2.000000000000000000e+01,6.392000000000000171e+01
1.710378017425537109e+02,2.000000000000000000e+01,6.393999999999999773e+01
1.720418443679809570e+02,2.000000000000000000e+01,6.396000000000000085e+01
1.730408265590667725e+02,2.000000000000000000e+01,6.432999999999999829e+01
1.740425975322723389e+02,2.000000000000000000e+01,6.440000000000000568e+01
1.750432968139648438e+02,2.000000000000000000e+01,6.445000000000000284e+01
1.760407097339630127e+02,2.000000000000000000e+01,6.462000000000000455e+01
1.770445914268493652e+02,2.000000000000000000e+01,6.487000000000000455e+01
1.780510077476501465e+02,2.000000000000000000e+01,6.492000000000000171e+01
1.790509152412414551e+02,2.000000000000000000e+01,6.504000000000000625e+01
1.800502009391784668e+02,2.000000000000000000e+01,6.537999999999999545e+01
1.810502538681030273e+02,2.000000000000000000e+01,6.540999999999999659e+01
1.820542657375335693e+02,2.000000000000000000e+01,6.543000000000000682e+01
1.830528960227966309e+02,2.000000000000000000e+01,6.570000000000000284e+01
1.840546030998229980e+02,2.000000000000000000e+01,6.584000000000000341e+01
1.850543742179870605e+02,2.000000000000000000e+01,6.592000000000000171e+01
1.860550487041473389e+02,2.000000000000000000e+01,6.596999999999999886e+01
1.870550301074981689e+02,2.000000000000000000e+01,6.628000000000000114e+01
1.880572347640991211e+02,2.000000000000000000e+01,6.631000000000000227e+01
1.890601825714111328e+02,2.000000000000000000e+01,6.640999999999999659e+01
1.900610458850860596e+02,2.000000000000000000e+01,6.679999999999999716e+01
1.910622119903564453e+02,2.000000000000000000e+01,6.684999999999999432e+01
1.920623588562011719e+02,2.000000000000000000e+01,6.684999999999999432e+01
1.930648596286773682e+02,2.000000000000000000e+01,6.689000000000000057e+01
1.940684084892272949e+02,2.000000000000000000e+01,6.726000000000000512e+01
1.950657267570495605e+02,2.000000000000000000e+01,6.732999999999999829e+01
